Pass,SpreadModel,TimeFrame,LookBack,RegressionLookBack,ZScoreOpen,ZScoreClose,AddZStep,MaxAddCount,AddLotStep,BaseLots,MinBasketProfit,ExtremeZThreshold,NetProfit,Sharpe,ProfitFactor,MaxAccountProfit,MaxAccountLoss,WorstBasketLoss,MaxEquityDrawdown,MaxEquityDrawdownPct,LongestBasketHoldHours,AvgBasketHoldHours,MaxExtremeZHours,AvgExtremeZHours,BasketCountObserved,ExtremeZEpisodeCount,ActiveBasketAgeHoursAtEnd,Score
53,OLS_LOG_RESIDUAL,M30,60,60,2.5,0,1.5,7,0.02,0.01,1,3,313.09,0.629478,1.122398,621.87,135.11,436.63,451.60,4.3480,1990.9997,105.9197,2.9392,0.0254,44,3222,1990.9997,0.393325
22,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,2.0,7,0.00,0.01,1,3,571.95,1.729121,1.300533,589.40,39.87,260.07,263.84,2.5615,1128.1164,44.3840,1.2067,0.0213,92,5679,30.1889,125.109635
86,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,1.0,7,0.04,0.01,1,3,4813.27,1.624383,1.383293,4830.72,691.37,2342.38,2342.97,17.5274,1128.0564,40.8621,1.2067,0.0213,97,5679,30.1889,375.410234
115,OLS_LOG_RESIDUAL,M30,60,60,2.0,0,3.0,7,0.04,0.01,1,3,-870.50,-0.474308,0.652931,431.91,2403.94,2822.90,2835.85,27.1844,1424.5136,91.3709,2.9392,0.0254,53,3222,992.4892,-64.118379
54,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,1.5,7,0.02,0.01,1,3,1747.63,1.417714,1.307210,1765.08,178.38,1136.09,1160.85,10.3528,1127.9011,43.1492,1.2067,0.0213,93,5679,30.1889,153.210182
23,OLS_LOG_RESIDUAL,M30,60,60,3.0,0,2.0,7,0.00,0.01,1,3,143.48,0.407297,1.117493,288.45,225.23,313.27,332.05,3.2854,1541.8217,125.5829,2.9392,0.0254,35,3222,1541.8217,0.212797
116,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,3.0,7,0.04,0.01,1,3,368.16,0.937440,1.293837,645.72,167.98,365.38,370.01,3.4757,2952.2183,171.2000,1.2067,0.0213,31,5679,1990.9997,1.218330
87,OLS_LOG_RESIDUAL,M30,60,60,3.0,0,1.0,7,0.04,0.01,1,3,1477.44,0.305951,1.188319,1802.99,3870.89,4403.80,4881.72,44.3356,1990.9997,71.0542,2.9392,0.0254,53,3222,1990.9997,0.264045
55,OLS_LOG_RESIDUAL,M30,60,60,3.0,0,1.5,7,0.02,0.01,1,3,396.06,0.437149,1.140933,520.86,757.94,959.97,986.99,9.6489,1528.1056,100.9124,2.9392,0.0254,41,3222,1528.1056,0.432148
24,OLS_LOG_RESIDUAL,M15,60,60,1.5,0,2.5,7,0.00,0.01,1,3,143.17,0.209415,1.067107,300.50,730.63,733.21,735.32,7.3498,3026.6561,59.9913,1.2067,0.0213,87,5679,1542.5550,0.021120
117,OLS_LOG_RESIDUAL,M30,60,60,2.5,0,3.0,7,0.04,0.01,1,3,-855.58,-0.480493,0.586321,296.25,2389.02,2662.82,2685.27,26.0801,1424.4642,116.2420,2.9392,0.0254,41,3222,992.3572,-61.264078
88,OLS_LOG_RESIDUAL,M15,60,60,1.5,0,1.5,7,0.04,0.01,1,3,-494.28,-0.047938,0.960917,426.48,6811.94,6814.52,6816.63,68.1343,3079.4886,80.5275,1.2067,0.0213,66,5679,1542.5550,-141.222345
25,OLS_LOG_RESIDUAL,M30,60,60,1.5,0,2.5,7,0.00,0.01,1,3,434.86,1.408671,1.259889,476.03,92.80,241.25,252.18,2.4420,1424.5825,77.2894,2.9392,0.0254,67,3222,195.9225,46.447312
56,OLS_LOG_RESIDUAL,M15,60,60,1.5,0,2.0,7,0.02,0.01,1,3,-300.20,-0.134283,0.938874,326.65,2203.80,2206.38,2208.49,22.0745,3079.4886,70.3319,1.2067,0.0213,75,5679,1542.5550,-47.140347
118,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,3.0,7,0.04,0.01,1,3,1110.92,1.574886,1.333970,1128.37,81.77,749.74,770.90,7.0792,1128.1164,46.9487,1.2067,0.0213,88,5679,30.1889,151.738570
89,OLS_LOG_RESIDUAL,M30,60,60,1.5,0,1.5,7,0.04,0.01,1,3,1007.59,0.819655,1.173497,1158.28,352.49,1092.40,1129.01,10.4766,1424.5825,58.8713,2.9392,0.0254,85,3222,195.9225,19.775981
26,OLS_LOG_RESIDUAL,M15,60,60,2.0,0,2.5,7,0.00,0.01,1,3,205.83,0.548621,1.119804,349.04,325.67,369.07,375.54,3.7368,1541.6619,58.9015,1.2067,0.0213,87,5679,1541.6619,0.395076
57,OLS_LOG_RESIDUAL,M30,60,60,1.5,0,2.0,7,0.02,0.01,1,3,593.25,1.393348,1.264008,634.42,92.80,315.80,319.22,3.0503,1424.5825,73.1820,2.9392,0.0254,70,3222,195.9225,58.350956
119,OLS_LOG_RESIDUAL,M30,60,60,3.0,0,3.0,7,0.04,0.01,1,3,174.92,0.291990,1.124680,319.89,501.81,627.37,653.12,6.4338,1541.8217,147.2268,2.9392,0.0254,31,3222,1541.8217,0.142695
29,OLS_LOG_RESIDUAL,M30,60,60,2.5,0,2.5,7,0.00,0.01,1,3,3.87,0.009637,1.003271,282.53,301.02,581.06,583.55,5.6752,1424.4642,116.3572,2.9392,0.0254,41,3222,992.3572,0.000005
27,OLS_LOG_RESIDUAL,M30,60,60,2.0,0,2.5,7,0.00,0.01,1,3,291.15,0.659853,1.190858,332.33,382.04,593.51,595.89,5.8341,2063.6458,101.3581,2.9392,0.0254,49,3222,195.7589,5.043313
58,OLS_LOG_RESIDUAL,M15,60,60,2.0,0,2.0,7,0.02,0.01,1,3,731.89,0.418891,1.133336,875.53,1373.40,1586.73,1593.20,15.5893,1541.6619,57.8864,1.2067,0.0213,88,5679,1541.6619,0.501837
28,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,2.5,7,0.00,0.01,1,3,402.34,1.007795,1.199206,419.80,319.02,363.77,369.89,3.6802,1424.6708,52.2637,1.2067,0.0213,87,5679,30.2028,23.571691
59,OLS_LOG_RESIDUAL,M30,60,60,2.0,0,2.0,7,0.02,0.01,1,3,440.39,0.511134,1.178597,528.54,901.03,1197.87,1200.14,11.6529,2303.8736,102.2409,2.9392,0.0254,48,3222,195.7589,3.205983
